                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.86404,                0.43167,                0.83334,                 0.9857,                 0.9729,                0.99094,                0.78748,                0.80567,                0.39713,                0.83978,               0.006436,               0.006436,               0.006436
                     38,                0.87686,                0.43246,                0.82066,                0.98908,                0.97244,                0.99147,                0.79171,                0.81532,                0.40756,                0.83688,               0.006337,               0.006337,               0.006337
                     39,                0.82461,                0.42651,                0.81995,                0.98709,                0.97188,                 0.9923,                0.77453,                0.87392,                0.43789,                0.84229,               0.006238,               0.006238,               0.006238
                     40,                0.84533,                0.42763,                0.81889,                0.98209,                0.96984,                0.99061,                0.74896,                0.94912,                0.45828,                0.85584,               0.006139,               0.006139,               0.006139
                     41,                0.85494,                0.42822,                0.82051,                0.97237,                 0.9637,                0.98912,                0.73283,                0.98823,                0.47592,                0.86212,                0.00604,                0.00604,                0.00604
                     42,                0.81004,                0.41721,                0.82002,                0.94109,                0.95961,                0.98376,                0.70505,                 1.0187,                 0.4983,                0.86699,               0.005941,               0.005941,               0.005941
                     43,                0.84515,                0.41561,                0.82133,                0.92094,                0.95552,                0.97784,                0.74234,                0.93613,                0.48374,                0.86132,               0.005842,               0.005842,               0.005842
                     44,                0.78571,                0.40315,                0.81082,                 0.9687,                0.98088,                0.99299,                0.78095,                0.83484,                0.41267,                0.84102,               0.005743,               0.005743,               0.005743
                     45,                0.79353,                0.40184,                0.81662,                0.97242,                0.97904,                0.99313,                0.75383,                0.91258,                0.43383,                0.84536,               0.005644,               0.005644,               0.005644
                     46,                0.81658,                0.41745,                0.81373,                0.97157,                0.97841,                0.99297,                0.75726,                0.90117,                0.44244,                0.84413,               0.005545,               0.005545,               0.005545
                     47,                0.80302,                0.41241,                  0.816,                0.97511,                0.98057,                0.99356,                0.79149,                0.79904,                0.41362,                 0.8322,               0.005446,               0.005446,               0.005446
                     48,                0.81197,                0.41425,                0.81849,                0.96922,                0.96587,                0.98845,                0.76839,                0.88459,                0.44804,                0.84511,               0.005347,               0.005347,               0.005347
                     49,                0.80075,                 0.4068,                0.81646,                0.94051,                0.93756,                0.97296,                0.73913,                0.94674,                0.50446,                0.85903,               0.005248,               0.005248,               0.005248
                     50,                0.80589,                0.40544,                0.81551,                0.92406,                0.94376,                 0.9697,                0.70864,                 1.0374,                0.51276,                0.86925,               0.005149,               0.005149,               0.005149
                     51,                0.81163,                0.40959,                0.81304,                0.89908,                0.93303,                0.96069,                0.66889,                  1.099,                0.54725,                 0.8836,                0.00505,                0.00505,                0.00505
                     52,                0.81356,                0.42096,                0.82281,                0.96799,                0.97495,                0.99216,                0.77703,                0.85237,                0.43728,                0.84091,               0.004951,               0.004951,               0.004951
                     53,                0.84218,                0.41153,                 0.8206,                0.97321,                0.97802,                0.98969,                0.80511,                0.78805,                0.41757,                0.83314,               0.004852,               0.004852,               0.004852
                     54,                0.83056,                0.41055,                0.82224,                 0.9794,                0.97597,                0.99017,                0.80467,                0.77158,                0.41109,                0.83255,               0.004753,               0.004753,               0.004753
                     55,                0.82863,                0.42095,                0.80869,                0.98338,                0.98006,                0.99268,                0.76458,                0.89696,                0.42833,                0.84342,               0.004654,               0.004654,               0.004654
                     56,                0.84683,                0.40955,                0.82248,                0.98011,                0.98226,                0.99341,                0.78679,                0.85231,                0.41197,                0.83817,               0.004555,               0.004555,               0.004555
                     57,                0.80025,                0.40127,                0.81335,                 0.9846,                 0.9816,                0.99368,                0.80071,                0.78822,                0.39227,                0.82929,               0.004456,               0.004456,               0.004456
                     58,                0.82768,                0.41276,                0.82022,                 0.9899,                0.97495,                 0.9934,                 0.7542,                0.94278,                0.42933,                0.84745,               0.004357,               0.004357,               0.004357
                     59,                0.79657,                0.40314,                0.81411,                 0.9785,                0.97802,                 0.9934,                0.75915,                0.94362,                0.43741,                0.84794,               0.004258,               0.004258,               0.004258
                     60,                0.79007,                0.40069,                0.81146,                0.92252,                 0.9545,                0.97801,                0.69823,                 1.0761,                0.51006,                0.87187,               0.004159,               0.004159,               0.004159
                     61,                0.81014,                0.39677,                0.81767,                0.84829,                0.88139,                0.91943,                0.60115,                  1.267,                0.64296,                0.91724,                0.00406,                0.00406,                0.00406
                     62,                 0.7948,                0.39609,                0.81733,                0.87921,                0.90746,                0.94829,                0.66291,                 1.1286,                0.59194,                0.89778,               0.003961,               0.003961,               0.003961
                     63,                0.79168,                 0.3901,                0.81655,                0.96891,                0.97239,                0.99196,                0.79619,                0.81487,                 0.4165,                0.84048,               0.003862,               0.003862,               0.003862
                     64,                0.79248,                0.39051,                 0.8082,                0.99011,                0.98262,                0.99378,                0.79041,                0.82566,                0.39071,                0.83562,               0.003763,               0.003763,               0.003763
                     65,                0.79503,                0.39819,                 0.8133,                0.99021,                0.98296,                0.99332,                0.78602,                0.83236,                0.38641,                0.83585,               0.003664,               0.003664,               0.003664
                     66,                0.75668,                 0.3851,                0.80934,                0.98971,                0.98383,                0.99429,                 0.8075,                0.75672,                0.36896,                0.82802,               0.003565,               0.003565,               0.003565
                     67,                0.75332,                0.37934,                0.80852,                 0.9894,                0.98313,                0.99449,                0.82203,                0.70569,                0.35989,                0.82244,               0.003466,               0.003466,               0.003466
                     68,                0.76196,                0.38621,                0.81215,                0.99071,                0.98157,                0.99454,                0.81065,                0.74644,                0.36963,                0.82516,               0.003367,               0.003367,               0.003367
                     69,                 0.7642,                0.39026,                0.80982,                0.98799,                0.98517,                 0.9945,                 0.7889,                0.81386,                 0.3822,                0.83031,               0.003268,               0.003268,               0.003268
                     70,                0.73415,                0.37885,                 0.8082,                 0.9887,                 0.9841,                0.99452,                 0.7929,                0.80691,                0.38491,                0.83027,               0.003169,               0.003169,               0.003169
                     71,                0.71683,                0.37983,                0.81243,                0.99168,                0.98211,                0.99436,                0.81895,                0.74751,                0.37134,                0.82625,                0.00307,                0.00307,                0.00307
                     72,                0.75661,                0.37538,                0.80593,                0.99123,                0.98235,                0.99429,                 0.8257,                0.71814,                0.36486,                0.82416,               0.002971,               0.002971,               0.002971
                     73,                 0.7313,                 0.3745,                0.80548,                0.99047,                 0.9816,                0.99417,                 0.8203,                0.71737,                0.36827,                0.82414,               0.002872,               0.002872,               0.002872
                     74,                0.73937,                0.37645,                0.80857,                0.98959,                0.98313,                0.99432,                0.80208,                0.78391,                0.38572,                0.82976,               0.002773,               0.002773,               0.002773
                     75,                0.75269,                0.38596,                0.80882,                0.98885,                0.97853,                0.99432,                0.81207,                 0.7644,                0.37798,                0.82946,               0.002674,               0.002674,               0.002674
                     76,                 0.7029,                0.36526,                0.81017,                0.99009,                0.97024,                0.99347,                0.82124,                0.73279,                0.37558,                0.82756,               0.002575,               0.002575,               0.002575
                     77,                0.72598,                0.36402,                0.80426,                0.99122,                0.97444,                0.99395,                0.82423,                0.71667,                0.36269,                0.82505,               0.002476,               0.002476,               0.002476
                     78,                0.72013,                0.36457,                0.80534,                0.99273,                0.97789,                0.99423,                0.81161,                0.74764,                 0.3617,                0.82644,               0.002377,               0.002377,               0.002377
                     79,                0.69879,                0.36893,                0.80905,                0.99224,                0.98061,                0.99412,                0.80734,                0.76469,                0.36338,                0.82718,               0.002278,               0.002278,               0.002278
                     80,                0.70946,                0.36813,                0.80988,                0.99267,                0.98262,                0.99406,                0.82146,                0.72581,                0.35312,                 0.8236,               0.002179,               0.002179,               0.002179
                     81,                0.68402,                0.35573,                0.80648,                0.99254,                0.98415,                0.99403,                 0.8238,                0.72126,                0.35216,                0.82308,                0.00208,                0.00208,                0.00208
                     82,                0.70833,                0.36139,                0.80337,                0.99263,                0.98466,                0.99417,                0.82097,                0.73173,                0.35486,                0.82479,               0.001981,               0.001981,               0.001981
                     83,                0.67771,                 0.3528,                 0.8121,                 0.9907,                0.98003,                 0.9944,                0.79928,                0.79525,                0.36872,                0.83172,               0.001882,               0.001882,               0.001882
                     84,                0.65741,                0.34503,                0.80553,                0.98756,                0.97035,                0.99368,                0.80167,                0.78942,                0.38041,                0.83322,               0.001783,               0.001783,               0.001783
                     85,                0.67911,                0.35245,                 0.8011,                0.97933,                0.96906,                0.99255,                0.80104,                0.78918,                0.38774,                0.83389,               0.001684,               0.001684,               0.001684
                     86,                0.71497,                0.36248,                0.80594,                0.98602,                0.97357,                0.99398,                0.81367,                0.75602,                0.36889,                0.82836,               0.001585,               0.001585,               0.001585
                     87,                0.68061,                0.35356,                0.80579,                0.98766,                0.98196,                0.99435,                 0.8134,                0.74961,                0.35944,                 0.8256,               0.001486,               0.001486,               0.001486
                     88,                0.75023,                0.38599,                0.80657,                0.99062,                0.98313,                0.99453,                 0.8082,                 0.7685,                 0.3618,                 0.8267,               0.001387,               0.001387,               0.001387
                     89,                0.68876,                0.35542,                0.79759,                0.99176,                0.98404,                0.99463,                0.81096,                 0.7589,                0.35914,                0.82597,               0.001288,               0.001288,               0.001288
                     90,                0.67802,                0.35338,                 0.8052,                0.99097,                0.98569,                0.99469,                0.82371,                0.71644,                0.34912,                0.82248,               0.001189,               0.001189,               0.001189
                     91,                0.70347,                0.37584,                0.80918,                0.99229,                0.98659,                0.99471,                0.84091,                0.66432,                0.33608,                0.81649,                0.00109,                0.00109,                0.00109
                     92,                0.68322,                0.36326,                0.80046,                0.99485,                0.98724,                0.99477,                0.83971,                0.67331,                 0.3392,                0.81604,               0.000991,               0.000991,               0.000991
                     93,                0.71901,                 0.3725,                0.80825,                0.99332,                0.98827,                0.99477,                0.83872,                0.67221,                0.34085,                0.81571,               0.000892,               0.000892,               0.000892
                     94,                0.70009,                0.36667,                0.80319,                0.99117,                0.98773,                0.99426,                0.84251,                0.66267,                0.34139,                0.81502,               0.000793,               0.000793,               0.000793
                     95,                0.70273,                0.36273,                 0.8074,                0.99215,                0.98773,                0.99445,                0.84347,                0.66271,                0.34265,                 0.8148,               0.000694,               0.000694,               0.000694
                     96,                0.70225,                0.36645,                0.80819,                0.99333,                0.98965,                0.99478,                0.84115,                0.66884,                0.34248,                 0.8149,               0.000595,               0.000595,               0.000595
                     97,                0.68656,                0.36113,                0.80548,                0.99383,                0.98897,                0.99478,                0.84116,                 0.6699,                0.34155,                0.81466,               0.000496,               0.000496,               0.000496
                     98,                0.68488,                0.35634,                0.80615,                0.99129,                 0.9897,                0.99476,                0.84306,                0.66504,                0.33916,                0.81422,               0.000397,               0.000397,               0.000397
                     99,                0.70672,                0.36892,                0.80613,                0.99102,                0.98875,                0.99473,                 0.8461,                0.65353,                0.33496,                0.81331,               0.000298,               0.000298,               0.000298
                    100,                0.66164,                0.35017,                0.80363,                0.98989,                0.98875,                0.99472,                0.84869,                0.65034,                0.33325,                0.81299,               0.000199,               0.000199,               0.000199
