                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3802,                 3.3859,                 3.9264,                      0,                      0,                      0,                      0,                  6.348,                 2.8577,                 3.4953,                 0.0793,                 0.0023,                 0.0023
                      2,                 5.5134,                 2.6951,                 3.3945,                      0,                      0,                      0,                      0,                 5.9603,                 2.6309,                 3.1327,               0.057653,              0.0046535,              0.0046535
                      3,                  4.723,                  2.507,                 3.0553,                      0,                      0,                      0,                      0,                 5.8094,                 2.5785,                 3.0425,               0.035959,              0.0069594,              0.0069594
                      4,                 3.8458,                 2.2603,                 2.8026,                      0,                      0,                      0,                      0,                 5.5868,                 2.4995,                 2.9339,               0.014218,              0.0092178,              0.0092178
                      5,                 3.9975,                 2.3145,                 2.6987,                      0,                      0,                      0,                      0,                 5.5404,                 2.4729,                  2.933,               0.009604,               0.009604,               0.009604
                      6,                 3.2604,                 2.0606,                  2.517,                0.21833,                0.33487,                0.17517,                0.06074,                 3.8993,                 2.2637,                 2.4119,               0.009505,               0.009505,               0.009505
                      7,                 3.2271,                  2.024,                 2.3939,                0.26894,                0.39162,                0.19803,                 0.0587,                 2.6085,                 1.8411,                 1.9888,               0.009406,               0.009406,               0.009406
                      8,                 3.1504,                 1.9925,                  2.284,                0.29533,                0.45297,                0.24329,                0.07226,                 2.5449,                  1.885,                 1.9267,               0.009307,               0.009307,               0.009307
                      9,                 3.2264,                 1.8724,                 2.2052,                  0.079,                0.12117,                 0.0443,                0.00907,                 2.6135,                 2.0952,                 2.0073,               0.009208,               0.009208,               0.009208
                     10,                   2.93,                 1.8683,                 2.0796,                  0.123,                0.18865,                0.07465,                0.01455,                 2.7827,                 2.6575,                 2.2529,               0.009109,               0.009109,               0.009109
                     11,                  2.646,                 1.9885,                 2.0861,                   0.22,                0.33742,                0.15294,                0.04449,                  2.331,                 1.9472,                 1.7997,                0.00901,                0.00901,                0.00901
                     12,                 2.8408,                 1.7814,                 2.0181,                0.17176,                0.23671,                0.10696,                0.02279,                 2.5531,                 2.4966,                 1.8801,               0.008911,               0.008911,               0.008911
                     13,                 2.7196,                  1.866,                 2.1279,                  0.255,                 0.3911,                0.19734,                0.06914,                 2.3171,                 2.3004,                  1.757,               0.008812,               0.008812,               0.008812
                     14,                 2.6228,                   1.71,                 1.8857,                0.24763,                0.36963,                0.18749,                0.05321,                 2.3623,                 1.9856,                 1.7321,               0.008713,               0.008713,               0.008713
                     15,                 2.5116,                 1.6647,                 1.8563,                0.25581,                0.38957,                0.20134,                 0.0704,                  2.303,                  2.295,                 1.6717,               0.008614,               0.008614,               0.008614
                     16,                 2.5012,                 1.6356,                  1.865,                0.27551,                0.41871,                0.22685,                0.08709,                  2.243,                 2.2647,                 1.6455,               0.008515,               0.008515,               0.008515
                     17,                 2.4924,                 1.6084,                   1.81,                0.27767,                0.42587,                0.23329,                0.10404,                 2.1961,                 2.6964,                 1.6268,               0.008416,               0.008416,               0.008416
                     18,                  2.419,                 1.5986,                 1.7418,                0.25133,                0.38548,                0.20703,                0.08453,                 2.3908,                 2.8755,                 1.7628,               0.008317,               0.008317,               0.008317
                     19,                 2.2931,                 1.6052,                 1.8398,                0.30864,                 0.4499,                0.26869,                0.14136,                 1.9115,                  1.553,                 1.5201,               0.008218,               0.008218,               0.008218
                     20,                 2.1819,                 1.5501,                 1.7595,                0.25133,                0.38548,                0.19844,                0.07356,                 2.6949,                 3.2308,                 1.8713,               0.008119,               0.008119,               0.008119
                     21,                 2.3113,                 1.5518,                 1.7105,                0.27333,                0.41922,                0.25374,                0.10414,                 2.3173,                 3.4477,                 1.7084,                0.00802,                0.00802,                0.00802
                     22,                 2.3174,                 1.4852,                 1.6757,                0.35879,                0.51022,                0.34727,                0.14986,                 2.0937,                 1.5869,                 1.5818,               0.007921,               0.007921,               0.007921
                     23,                 2.2646,                  1.497,                 1.6221,                0.39889,                0.57311,                0.40872,                0.19228,                   2.03,                 1.6732,                 1.5307,               0.007822,               0.007822,               0.007822
                     24,                  2.202,                 1.5126,                 1.6598,                 0.4006,                0.56493,                0.41533,                0.19747,                 1.9675,                 1.7221,                 1.5337,               0.007723,               0.007723,               0.007723
                     25,                 2.2232,                 1.4368,                 1.5944,                 0.4906,                0.62014,                0.54901,                0.22895,                 2.2459,                 1.4487,                 1.6059,               0.007624,               0.007624,               0.007624
                     26,                 2.1246,                 1.4358,                 1.5879,                0.51377,                0.66392,                 0.5957,                0.30998,                 1.8409,                 1.3764,                 1.4566,               0.007525,               0.007525,               0.007525
                     27,                 2.1286,                 1.3434,                 1.5474,                 0.5954,                0.69172,                0.67565,                 0.3521,                  1.808,                  1.263,                 1.4439,               0.007426,               0.007426,               0.007426
                     28,                 2.0755,                 1.3058,                 1.4737,                  0.611,                 0.7229,                0.69535,                 0.3549,                 1.8231,                  1.267,                 1.4383,               0.007327,               0.007327,               0.007327
                     29,                 2.0315,                  1.272,                 1.4992,                 0.7419,                0.73921,                0.79058,                0.33658,                 2.0333,                  1.215,                  1.507,               0.007228,               0.007228,               0.007228
                     30,                 2.0295,                 1.3021,                 1.5408,                0.69733,                0.72955,                0.77318,                0.44565,                 1.6341,                 1.2205,                  1.366,               0.007129,               0.007129,               0.007129
                     31,                   1.94,                 1.2532,                 1.4908,                0.78436,                0.76074,                0.83171,                 0.3858,                 1.9615,                 1.1739,                 1.4883,                0.00703,                0.00703,                0.00703
                     32,                 1.8354,                 1.1495,                  1.426,                 0.8615,                0.83947,                0.90969,                0.51671,                 1.6536,                 1.0145,                 1.3415,               0.006931,               0.006931,               0.006931
