                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0419,                 2.7902,                 1.4905,                0.60855,                 0.8091,                0.67408,                0.33876,                 1.7467,                 1.4123,                 1.0014,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.7634,                0.90198,                 1.0349,                0.85553,                0.92382,                0.90803,                0.61859,                   1.16,                0.78797,                0.89098,               0.072069,              0.0030693,              0.0030693
                      3,                 1.4614,                 0.6665,                0.93795,                0.91357,                0.94569,                 0.9675,                0.65961,                  1.172,                0.91912,                0.87869,               0.057607,              0.0046069,              0.0046069
                      4,                 1.3245,                0.69305,                0.91352,                0.94878,                0.95399,                0.98066,                 0.5745,                 1.3282,                 0.8019,                0.90006,               0.043113,              0.0061129,              0.0061129
                      5,                 1.5007,                 0.7784,                0.96713,                0.96677,                0.96687,                0.98324,                0.64864,                 1.1243,                0.71568,                 0.8674,               0.028587,              0.0075872,              0.0075872
                      6,                 1.4938,                0.74823,                0.92201,                0.91146,                0.92945,                0.95298,                0.51639,                  1.345,                 0.9937,                0.89457,                0.01403,              0.0090297,              0.0090297
                      7,                 1.6119,                0.75277,                0.92873,                0.79128,                0.87801,                0.82535,                0.32244,                 1.5941,                 1.2142,                0.94779,               0.009406,               0.009406,               0.009406
                      8,                 1.4574,                0.69113,                0.92183,                0.97566,                0.95706,                0.98233,                0.58372,                 1.5867,                0.70079,                0.94509,               0.009307,               0.009307,               0.009307
                      9,                 1.3483,                0.67485,                0.90067,                 0.9503,                0.95799,                0.97743,                0.57369,                  1.312,                0.69328,                0.90468,               0.009208,               0.009208,               0.009208
                     10,                 1.3311,                0.74695,                0.89793,                0.92748,                0.92791,                0.95879,                0.58015,                 1.3391,                0.70228,                0.91199,               0.009109,               0.009109,               0.009109
                     11,                 1.3904,                 0.6947,                0.91806,                0.94489,                0.94663,                0.97859,                0.45916,                 1.5979,                0.76662,                0.95901,                0.00901,                0.00901,                0.00901
                     12,                 1.3807,                0.67532,                0.90433,                0.92041,                0.94172,                0.96959,                0.58731,                 1.3675,                0.72231,                0.90243,               0.008911,               0.008911,               0.008911
                     13,                 1.2273,                0.66608,                0.87015,                0.92909,                0.95757,                 0.9769,                0.67143,                  1.168,                 0.7742,                 0.8821,               0.008812,               0.008812,               0.008812
                     14,                 1.3327,                0.66629,                0.89528,                0.85679,                0.94325,                0.93717,                 0.6309,                 1.0009,                0.58668,                0.87031,               0.008713,               0.008713,               0.008713
                     15,                  1.291,                0.61104,                 0.8951,                0.96786,                0.96991,                0.99044,                0.74659,                0.93699,                0.54133,                0.86258,               0.008614,               0.008614,               0.008614
                     16,                 1.2937,                0.63213,                0.88085,                0.96994,                0.97313,                 0.9912,                0.70762,                0.96842,                0.56318,                0.86895,               0.008515,               0.008515,               0.008515
                     17,                 1.1773,                0.63951,                0.87606,                0.97645,                0.98006,                0.99322,                 0.7765,                0.90947,                0.54793,                0.84887,               0.008416,               0.008416,               0.008416
                     18,                 1.1687,                0.60109,                 0.8565,                 0.9671,                0.97668,                0.99198,                0.75803,                0.95096,                0.52296,                0.84351,               0.008317,               0.008317,               0.008317
                     19,                 1.1761,                0.56666,                0.86916,                0.97273,                0.97853,                0.98797,                0.76706,                0.94486,                 0.5127,                0.83587,               0.008218,               0.008218,               0.008218
                     20,                  1.186,                  0.541,                0.86571,                0.97269,                0.97853,                0.98845,                0.77338,                0.84674,                0.47658,                0.82892,               0.008119,               0.008119,               0.008119
                     21,                 1.1319,                0.55796,                0.86602,                0.98165,                0.97495,                0.99276,                0.77279,                0.86207,                0.46495,                0.83589,                0.00802,                0.00802,                0.00802
                     22,                   1.13,                0.51568,                0.86226,                0.97665,                0.98364,                0.99349,                0.79147,                 0.8348,                0.44285,                0.83417,               0.007921,               0.007921,               0.007921
                     23,                 1.1615,                0.53507,                0.85525,                  0.982,                0.98517,                0.99327,                0.80259,                0.80269,                0.45156,                0.83226,               0.007822,               0.007822,               0.007822
                     24,                 1.1605,                0.54725,                0.86349,                0.98065,                 0.9816,                0.99251,                0.79102,                0.83872,                0.45497,                0.83441,               0.007723,               0.007723,               0.007723
                     25,                 1.1262,                0.54536,                0.85965,                0.98753,                0.98824,                0.99453,                0.78193,                0.87267,                0.47372,                0.83314,               0.007624,               0.007624,               0.007624
                     26,                  1.066,                0.52972,                0.85242,                 0.9867,                0.98648,                0.99439,                0.74544,                 1.0059,                 0.4975,                0.84769,               0.007525,               0.007525,               0.007525
                     27,                  1.032,                 0.4966,                0.85315,                0.98872,                0.98588,                0.99463,                0.77307,                0.89395,                 0.4422,                0.84146,               0.007426,               0.007426,               0.007426
                     28,                 1.0783,                0.51968,                0.85151,                0.98726,                0.99018,                0.99469,                0.76829,                0.87558,                0.44037,                0.84241,               0.007327,               0.007327,               0.007327
                     29,                 1.0549,                0.49532,                0.84862,                0.98173,                0.98923,                0.99442,                0.77248,                0.92075,                0.46028,                 0.8441,               0.007228,               0.007228,               0.007228
                     30,                 1.0424,                0.50628,                0.84559,                0.98472,                0.98831,                 0.9945,                 0.7681,                 1.0218,                0.52325,                0.85326,               0.007129,               0.007129,               0.007129
                     31,                 0.9838,                0.49965,                0.83716,                0.98619,                0.98603,                0.99444,                0.74564,                 1.0461,                0.47168,                 0.8567,                0.00703,                0.00703,                0.00703
                     32,                 1.0272,                0.48755,                0.84125,                0.98921,                0.98414,                0.99438,                0.77068,                0.98571,                0.48061,                0.84923,               0.006931,               0.006931,               0.006931
                     33,                0.96297,                0.47416,                0.83663,                0.98958,                0.98569,                0.99463,                0.76237,                0.92346,                0.46257,                0.84301,               0.006832,               0.006832,               0.006832
                     34,                 1.0488,                0.49013,                0.83992,                0.99111,                0.98262,                0.99443,                0.76057,                0.94443,                0.45954,                0.84306,               0.006733,               0.006733,               0.006733
                     35,                0.89928,                0.45365,                0.83221,                0.99125,                0.98926,                0.99476,                0.74398,                 1.0073,                0.47611,                0.84694,               0.006634,               0.006634,               0.006634
                     36,                0.94964,                 0.4759,                0.83623,                0.99026,                0.98724,                0.99475,                0.76901,                0.91739,                0.47102,                0.83503,               0.006535,               0.006535,               0.006535
                     37,                0.93702,                0.47357,                0.82737,                0.99234,                0.98262,                0.99291,                0.70899,                 1.1166,                0.48071,                 0.8653,               0.006436,               0.006436,               0.006436
                     38,                0.95799,                0.46234,                0.82677,                0.99367,                0.98364,                0.99259,                0.74339,                0.97763,                0.44838,                0.84833,               0.006337,               0.006337,               0.006337
                     39,                 0.9476,                0.46659,                0.82481,                0.99129,                0.98924,                 0.9948,                0.79431,                0.81003,                0.43979,                 0.8244,               0.006238,               0.006238,               0.006238
                     40,                0.95288,                0.46079,                0.82874,                0.99212,                0.98722,                0.99473,                0.78011,                0.87466,                0.43726,                0.82716,               0.006139,               0.006139,               0.006139
                     41,                0.92338,                0.45219,                0.82043,                0.99598,                0.98671,                0.99484,                0.78854,                0.89135,                0.44332,                0.82864,                0.00604,                0.00604,                0.00604
                     42,                0.91576,                0.45149,                0.82115,                0.99742,                0.98891,                0.99488,                0.80435,                0.84128,                0.42442,                0.82417,               0.005941,               0.005941,               0.005941
                     43,                0.96292,                0.46167,                0.82935,                0.99491,                0.98824,                 0.9949,                0.82766,                0.74143,                 0.3893,                0.81683,               0.005842,               0.005842,               0.005842
                     44,                0.89764,                 0.4402,                0.82007,                0.99283,                0.99042,                0.99489,                0.82074,                0.79401,                0.40774,                0.81845,               0.005743,               0.005743,               0.005743
                     45,                0.88013,                0.42889,                0.82502,                0.99385,                0.99108,                0.99491,                0.80553,                0.83087,                0.40085,                0.82314,               0.005644,               0.005644,               0.005644
                     46,                0.86335,                 0.4201,                0.82271,                0.99534,                 0.9908,                0.99492,                0.80917,                 0.8227,                0.39977,                0.82521,               0.005545,               0.005545,               0.005545
                     47,                0.85068,                0.41463,                0.81886,                0.99639,                0.98826,                0.99489,                0.78429,                 0.8878,                0.40373,                0.83171,               0.005446,               0.005446,               0.005446
