                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77574,                0.37777,                0.81948,                      1,                0.01022,                0.50511,                0.39935,                 1.2181,                 3.0842,                 0.9756,               0.006436,               0.006436,               0.006436
                     38,                0.75483,                0.36735,                0.80862,                0.85572,                0.08793,                0.47749,                0.38463,                0.97676,                 1.5185,                0.90726,               0.006337,               0.006337,               0.006337
                     39,                0.72819,                0.36096,                0.79747,                0.98625,                0.53221,                0.70155,                0.54978,                0.86661,                0.83909,                 0.8582,               0.006238,               0.006238,               0.006238
                     40,                0.72477,                0.35979,                0.80729,                0.98714,                0.98136,                0.99391,                0.77301,                0.84328,                0.41488,                0.84365,               0.006139,               0.006139,               0.006139
                     41,                0.72204,                0.36039,                0.81001,                0.98413,                0.97699,                0.99042,                0.79329,                0.79381,                0.40358,                0.83819,                0.00604,                0.00604,                0.00604
                     42,                 0.7169,                0.35109,                 0.8006,                0.98099,                0.97634,                0.99164,                0.79299,                0.79039,                0.40079,                0.83859,               0.005941,               0.005941,               0.005941
                     43,                0.72464,                0.35555,                 0.8047,                0.98125,                0.98982,                0.99418,                0.78074,                0.81478,                0.39957,                0.83787,               0.005842,               0.005842,               0.005842
                     44,                0.70728,                0.35335,                0.80327,                0.98284,                0.98313,                0.99413,                0.80348,                0.77758,                0.38041,                0.83246,               0.005743,               0.005743,               0.005743
                     45,                0.74435,                0.36346,                0.80759,                0.97933,                 0.9862,                0.99412,                0.80564,                0.77164,                0.39249,                0.83087,               0.005644,               0.005644,               0.005644
                     46,                0.70554,                0.35418,                0.80333,                0.98718,                0.98394,                0.99394,                0.78979,                0.80432,                0.38981,                0.83219,               0.005545,               0.005545,               0.005545
                     47,                0.71029,                0.35263,                0.80346,                0.98193,                0.98517,                0.99362,                0.81797,                0.73116,                  0.369,                0.82902,               0.005446,               0.005446,               0.005446
                     48,                0.68962,                0.34367,                0.79969,                0.98674,                0.98939,                 0.9941,                0.82096,                0.72436,                0.37125,                0.82614,               0.005347,               0.005347,               0.005347
                     49,                0.67999,                0.33827,                0.80252,                0.98852,                0.98824,                0.99437,                0.81766,                0.72126,                0.36367,                0.82504,               0.005248,               0.005248,               0.005248
                     50,                 0.6813,                0.34111,                0.79845,                0.98926,                0.98875,                0.99457,                0.82874,                0.70077,                0.34754,                0.82447,               0.005149,               0.005149,               0.005149
                     51,                0.70725,                0.34568,                0.80056,                0.98851,                0.99029,                0.99463,                0.81347,                0.75588,                0.36941,                0.82934,                0.00505,                0.00505,                0.00505
                     52,                0.66398,                0.34314,                0.80054,                0.97602,                0.99029,                0.99406,                0.80879,                0.75179,                0.35495,                0.83068,               0.004951,               0.004951,               0.004951
                     53,                0.70006,                0.34236,                0.80309,                0.98371,                0.98769,                0.99435,                0.82708,                0.70605,                0.34175,                0.82404,               0.004852,               0.004852,               0.004852
                     54,                0.67879,                0.33148,                0.80438,                0.98778,                0.99155,                0.99465,                0.82286,                0.71654,                0.34371,                0.82461,               0.004753,               0.004753,               0.004753
                     55,                0.66309,                0.33215,                0.79707,                 0.9923,                0.98978,                0.99472,                0.83569,                0.67745,                0.32968,                0.81972,               0.004654,               0.004654,               0.004654
                     56,                0.64483,                0.32556,                0.79922,                0.99283,                0.99121,                 0.9947,                0.84401,                 0.6559,                0.33255,                0.81642,               0.004555,               0.004555,               0.004555
                     57,                0.63263,                0.32906,                0.79839,                0.99233,                0.99153,                0.99464,                  0.842,                0.65737,                0.33107,                0.81655,               0.004456,               0.004456,               0.004456
                     58,                0.63307,                0.32695,                0.80268,                0.99294,                 0.9908,                0.99464,                0.84605,                 0.6476,                0.33747,                0.81561,               0.004357,               0.004357,               0.004357
                     59,                0.66028,                0.33945,                0.80093,                0.99333,                0.98969,                0.99452,                0.83378,                0.66873,                0.34755,                0.81793,               0.004258,               0.004258,               0.004258
                     60,                0.65178,                0.33184,                0.80322,                0.98828,                0.99113,                0.99377,                0.84048,                0.66543,                0.34753,                0.81792,               0.004159,               0.004159,               0.004159
                     61,                0.62732,                0.32568,                 0.7982,                 0.9893,                0.99294,                0.99374,                0.83739,                0.67174,                 0.3525,                0.81827,                0.00406,                0.00406,                0.00406
                     62,                0.66744,                0.33411,                0.79155,                 0.9898,                0.99245,                0.99394,                0.82223,                0.72579,                0.35991,                0.82251,               0.003961,               0.003961,               0.003961
                     63,                0.66046,                0.32396,                0.79996,                0.99029,                0.99103,                0.99398,                0.83072,                0.70024,                0.34267,                0.81966,               0.003862,               0.003862,               0.003862
                     64,                0.66609,                0.32589,                0.79854,                0.99147,                0.99182,                0.99444,                0.83722,                0.68945,                0.34734,                0.81819,               0.003763,               0.003763,               0.003763
                     65,                0.66415,                0.33138,                0.80023,                0.99303,                0.98773,                0.99439,                0.81258,                0.77888,                 0.3689,                 0.8245,               0.003664,               0.003664,               0.003664
                     66,                0.70104,                0.33601,                 0.8048,                0.99221,                0.98569,                0.99426,                0.82773,                0.73882,                0.36353,                0.82007,               0.003565,               0.003565,               0.003565
                     67,                0.65021,                0.32973,                0.79617,                0.99199,                0.98364,                0.99345,                0.84952,                0.64755,                0.34424,                0.81284,               0.003466,               0.003466,               0.003466
                     68,                0.65348,                 0.3301,                0.79912,                0.99175,                 0.9833,                 0.9939,                 0.8395,                0.68345,                0.35063,                0.81622,               0.003367,               0.003367,               0.003367
                     69,                0.63901,                0.32433,                0.79939,                0.99376,                0.98875,                0.99458,                0.82202,                0.71647,                0.35051,                0.81873,               0.003268,               0.003268,               0.003268
                     70,                0.66165,                0.32374,                0.79579,                0.99536,                0.98716,                0.99438,                0.82595,                0.70525,                0.34596,                0.81792,               0.003169,               0.003169,               0.003169
                     71,                0.65544,                0.33456,                0.80865,                0.99434,                0.98711,                0.99465,                0.85602,                0.63587,                0.33349,                0.81183,                0.00307,                0.00307,                0.00307
                     72,                0.63906,                0.31771,                0.79371,                0.99375,                0.98875,                0.99479,                0.84025,                0.67584,                0.34033,                0.81499,               0.002971,               0.002971,               0.002971
                     73,                0.63324,                0.31675,                0.80053,                0.99283,                 0.9908,                0.99478,                0.84756,                0.66502,                0.33535,                0.81514,               0.002872,               0.002872,               0.002872
                     74,                0.63793,                0.31488,                0.79894,                0.99229,                0.99029,                 0.9947,                0.84077,                0.68654,                0.33386,                0.81621,               0.002773,               0.002773,               0.002773
                     75,                0.67869,                0.32891,                0.79673,                 0.9918,                0.98985,                0.99475,                0.82952,                0.70871,                0.34089,                0.81757,               0.002674,               0.002674,               0.002674
                     76,                0.64767,                0.32585,                0.80287,                0.99199,                0.98978,                0.99472,                0.84146,                 0.6681,                0.33748,                0.81447,               0.002575,               0.002575,               0.002575
