                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1889,                0.59983,                0.89746,                0.97273,                0.98517,                0.99392,                0.80294,                0.75603,                0.39027,                0.81816,                 0.0847,                 0.0017,                 0.0017
                      2,                 1.0473,                0.48528,                0.85355,                0.99073,                0.98364,                 0.9947,                 0.8047,                0.79147,                0.38834,                0.82595,               0.068465,              0.0034654,              0.0034654
                      3,                 1.0885,                0.49837,                0.84875,                0.98701,                0.99284,                0.99479,                0.79812,                0.79538,                0.45537,                0.82602,               0.052195,              0.0051951,              0.0051951
                      4,                 1.0838,                0.51648,                0.84445,                0.99275,                0.98061,                0.99448,                0.79078,                0.85845,                0.50069,                0.83391,               0.035889,              0.0068891,              0.0068891
                      5,                 1.3144,                0.58199,                0.86493,                0.98768,                0.98383,                0.99462,                0.76461,                 0.8848,                 0.4729,                0.83798,               0.019548,              0.0085476,              0.0085476
                      6,                 1.2471,                0.58625,                0.86433,                0.98263,                0.98338,                0.99391,                0.61332,                 1.2962,                0.58743,                0.87874,               0.009505,               0.009505,               0.009505
                      7,                 1.2347,                0.57953,                0.86889,                 0.9676,                0.97722,                0.99188,                0.67481,                 1.1738,                0.57119,                0.86398,               0.009406,               0.009406,               0.009406
                      8,                 1.1708,                0.55914,                0.85602,                0.98516,                0.98442,                0.99439,                0.68028,                  1.236,                 0.5738,                0.86444,               0.009307,               0.009307,               0.009307
                      9,                 1.1995,                0.57027,                0.84959,                0.98443,                0.98671,                0.99441,                0.76286,                0.96601,                0.50281,                 0.8473,               0.009208,               0.009208,               0.009208
                     10,                 1.1187,                0.54717,                 0.8562,                0.99237,                0.98926,                0.99458,                0.72779,                0.98366,                0.50835,                0.83873,               0.009109,               0.009109,               0.009109
                     11,                 1.1862,                0.55584,                0.85354,                0.98371,                0.98815,                0.99371,                0.71817,                0.99924,                0.54213,                0.84605,                0.00901,                0.00901,                0.00901
                     12,                 1.1119,                0.53391,                0.84903,                0.99027,                0.98773,                0.99444,                0.77178,                0.89633,                0.48007,                0.82951,               0.008911,               0.008911,               0.008911
                     13,                 1.0852,                0.52184,                0.84762,                0.99034,                0.98722,                0.99449,                0.77603,                0.87269,                 0.4693,                  0.834,               0.008812,               0.008812,               0.008812
                     14,                 1.1217,                0.53253,                0.84387,                0.98577,                0.99142,                0.99463,                0.74746,                0.94811,                0.52855,                0.84115,               0.008713,               0.008713,               0.008713
                     15,                 1.0952,                0.53992,                0.84638,                0.98777,                0.99029,                0.99468,                0.70304,                  1.013,                0.55136,                0.85153,               0.008614,               0.008614,               0.008614
                     16,                 1.0301,                0.49449,                  0.849,                0.99405,                0.99131,                0.99484,                 0.7288,                 1.0752,                0.54403,                0.84909,               0.008515,               0.008515,               0.008515
                     17,                 1.0253,                0.49528,                0.84194,                0.99486,                0.99049,                0.99489,                0.74086,                 1.0431,                0.49209,                0.84861,               0.008416,               0.008416,               0.008416
                     18,                 1.0358,                0.47239,                0.84112,                0.99603,                0.99182,                0.99495,                0.82258,                0.76179,                0.42503,                0.81421,               0.008317,               0.008317,               0.008317
                     19,                 1.0038,                0.47212,                0.83309,                0.99436,                0.99171,                0.99494,                0.83272,                 0.7489,                0.41916,                0.81934,               0.008218,               0.008218,               0.008218
                     20,                 1.0405,                0.48236,                0.83631,                0.98845,                0.99233,                0.99472,                0.81814,                0.72854,                0.41695,                0.82246,               0.008119,               0.008119,               0.008119
                     21,                 1.0272,                   0.48,                0.83724,                0.99589,                0.99053,                0.99495,                0.80464,                0.79003,                0.41461,                0.83027,                0.00802,                0.00802,                0.00802
                     22,                0.99043,                0.47499,                0.83064,                0.99672,                 0.9908,                0.99496,                0.78224,                0.91871,                0.44308,                0.83535,               0.007921,               0.007921,               0.007921
                     23,                0.98895,                0.47154,                0.83104,                0.99184,                 0.9937,                0.99481,                 0.7729,                0.94391,                0.43393,                0.83608,               0.007822,               0.007822,               0.007822
                     24,                0.99935,                0.46499,                0.83023,                0.99031,                0.99259,                0.99476,                0.78306,                0.89296,                0.44481,                0.83167,               0.007723,               0.007723,               0.007723
                     25,                 1.0314,                0.48064,                0.82569,                0.99184,                0.99426,                0.99489,                0.79882,                0.86487,                0.43404,                0.83016,               0.007624,               0.007624,               0.007624
                     26,                0.90296,                0.45249,                0.82672,                 0.9964,                0.99187,                0.99498,                 0.8268,                0.74254,                 0.4044,                0.82181,               0.007525,               0.007525,               0.007525
                     27,                0.92187,                0.44304,                0.83236,                0.99488,                0.99327,                0.99494,                0.82105,                0.76608,                0.40324,                0.81963,               0.007426,               0.007426,               0.007426
                     28,                0.97579,                0.45672,                0.83049,                0.99703,                0.99233,                0.99497,                0.81591,                0.78496,                0.41028,                0.81835,               0.007327,               0.007327,               0.007327
                     29,                0.91482,                0.44341,                0.82775,                0.99797,                0.99182,                0.99497,                0.82693,                 0.7546,                0.40856,                0.81766,               0.007228,               0.007228,               0.007228
                     30,                0.87204,                0.42298,                0.82538,                0.99657,                0.99284,                0.99498,                0.77131,                0.93133,                0.41841,                0.83263,               0.007129,               0.007129,               0.007129
                     31,                0.92161,                0.42256,                0.82751,                0.99641,                0.99304,                0.99497,                 0.7951,                0.88335,                 0.4234,                0.82539,                0.00703,                0.00703,                0.00703
                     32,                0.91894,                0.43157,                0.82349,                 0.9954,                0.99233,                0.99496,                0.79465,                0.87961,                0.42535,                0.82474,               0.006931,               0.006931,               0.006931
                     33,                 0.9151,                0.43547,                0.82002,                0.99284,                0.99217,                0.99489,                0.80344,                 0.8533,                0.43093,                0.82669,               0.006832,               0.006832,               0.006832
                     34,                0.90286,                0.43259,                0.81675,                0.99284,                0.99303,                0.99491,                0.84293,                0.66409,                0.37188,                0.81151,               0.006733,               0.006733,               0.006733
                     35,                0.87292,                 0.4206,                0.81853,                0.99523,                0.99233,                0.99495,                0.84654,                0.65151,                0.36221,                0.80832,               0.006634,               0.006634,               0.006634
                     36,                0.88232,                0.42271,                0.82296,                0.99546,                0.99233,                0.99495,                0.84854,                0.65169,                0.36783,                 0.8116,               0.006535,               0.006535,               0.006535
                     37,                0.88974,                0.42563,                0.82427,                0.99556,                0.99233,                0.99493,                 0.8348,                0.69494,                0.38189,                0.81486,               0.006436,               0.006436,               0.006436
                     38,                0.87337,                0.41908,                0.81668,                0.99282,                0.99021,                0.99487,                0.79838,                0.82996,                0.40234,                0.82676,               0.006337,               0.006337,               0.006337
                     39,                0.84991,                0.41502,                 0.8163,                0.99641,                0.99405,                0.99497,                0.80805,                0.82978,                0.42552,                0.82437,               0.006238,               0.006238,               0.006238
                     40,                0.87993,                0.42146,                0.82053,                0.99556,                0.99387,                0.99497,                0.81113,                0.81431,                0.40946,                0.82271,               0.006139,               0.006139,               0.006139
                     41,                0.81845,                0.40596,                0.82069,                0.99576,                0.99438,                0.99497,                 0.7963,                0.88304,                0.42609,                0.82732,                0.00604,                0.00604,                0.00604
                     42,                0.85541,                0.40862,                0.81779,                 0.9959,                0.99291,                0.99496,                0.84445,                0.64611,                0.35301,                0.81143,               0.005941,               0.005941,               0.005941
                     43,                0.83182,                0.39824,                0.82186,                0.99385,                0.99131,                0.99492,                0.84451,                0.65628,                0.35109,                0.81094,               0.005842,               0.005842,               0.005842
                     44,                0.79402,                 0.3849,                0.81197,                0.99487,                0.99116,                0.99495,                0.84038,                0.68335,                0.35142,                0.81246,               0.005743,               0.005743,               0.005743
                     45,                 0.8544,                 0.4063,                0.81656,                0.99591,                0.99515,                0.99497,                0.83888,                0.66219,                0.36335,                0.81146,               0.005644,               0.005644,               0.005644
                     46,                0.82148,                0.41309,                0.80989,                0.99678,                0.99182,                0.99498,                0.82102,                0.78284,                0.40232,                0.81799,               0.005545,               0.005545,               0.005545
